d,n,m,i,saf.t
0.3,10,30,4,0.228
0.3,10,30,5,0.237
0.3,10,30,6,0.241
0.3,10,30,9,0.233
0.3,10,30,8,0.305
0.3,10,30,7,0.312
0.3,10,30,10,0.232
0.3,10,30,11,0.232
0.3,10,30,12,0.23
0.3,10,30,14,0.238
0.3,10,30,13,0.24
0.3,10,30,15,0.229
0.3,10,30,16,0.237
0.3,10,30,18,0.232
0.3,10,30,17,0.237
0.3,10,30,19,0.23
0.3,10,30,21,0.235
0.3,10,30,22,0.293
0.3,10,30,20,0.291
0.3,10,30,23,0.235
0.3,10,30,24,0.237
0.3,10,30,25,0.231
0.3,10,30,26,0.242
0.3,20,5,0,0.032
0.3,10,30,27,0.249
0.3,20,5,1,0.065
0.3,20,5,2,0.048
0.3,20,5,3,0.048
0.3,20,5,4,0.058
0.3,20,5,5,0.061
0.3,20,5,6,0.048
0.3,100,30,24,18.787
0.3,10,30,29,0.393
0.3,20,5,8,0.047
0.3,20,5,9,0.048
0.3,20,5,10,0.048
0.3,20,5,7,0.067
0.3,10,30,28,0.433
0.3,20,5,11,0.05
0.3,20,5,13,0.047
0.3,20,5,14,0.048
0.3,20,5,12,0.062
0.3,20,5,15,0.063
0.3,20,5,16,0.049
0.3,20,5,17,0.046
0.3,20,5,18,0.048
0.3,20,5,19,0.057
0.3,20,5,21,0.047
0.3,20,5,20,0.064
0.3,20,5,23,0.049
0.3,20,5,22,0.061
0.3,20,5,24,0.051
0.3,20,5,25,0.047
0.3,20,5,28,0.049
0.3,20,5,26,0.064
0.3,20,5,27,0.063
0.3,20,5,29,0.048
0.3,20,10,0,0.154
0.3,20,10,1,0.16
0.3,20,10,3,0.163
0.3,20,10,4,0.164
0.3,20,10,2,0.2
0.3,20,10,5,0.102
0.3,20,10,6,0.104
0.3,20,10,7,0.111
0.3,20,10,8,0.11
0.3,20,10,11,0.107
0.3,20,10,9,0.173
0.3,20,10,12,0.107
0.3,20,10,13,0.107
0.3,20,10,10,0.181
0.3,20,10,14,0.112
0.3,20,10,16,0.104
0.3,20,10,17,0.105
0.3,20,10,15,0.185
0.3,20,10,19,0.109
0.3,20,10,20,0.112
0.3,20,10,18,0.184
0.3,20,10,21,0.115
0.3,20,10,23,0.11
0.3,20,10,24,0.108
0.3,20,10,26,0.109
0.3,20,10,22,0.191
0.3,20,10,25,0.123
0.3,20,10,27,0.104
0.3,20,10,28,0.115
0.3,20,10,29,0.113
0.3,20,20,1,0.406
0.3,20,20,3,0.378
0.3,20,20,2,0.39
0.3,20,20,4,0.436
0.3,20,20,0,0.727
0.3,20,20,5,0.385
0.3,20,20,6,0.389
0.3,20,20,7,0.405
0.3,20,20,8,0.419
0.3,20,20,10,0.394
0.3,20,20,12,0.452
0.3,20,20,11,0.515
0.3,20,20,9,0.688
0.3,100,30,1,58.129
0.3,20,20,13,0.613
0.3,20,20,14,0.459
0.3,20,20,16,0.386
0.3,20,20,15,0.456
0.3,20,20,19,0.385
0.3,20,20,20,0.398
0.3,20,20,17,0.674
0.3,20,20,22,0.394
0.3,20,20,18,0.713
0.3,20,20,21,0.445
0.3,20,20,24,0.407
0.3,20,20,26,0.392
0.3,20,20,23,0.689
0.3,20,20,28,0.432
0.3,20,20,25,0.722
0.3,20,20,29,0.398
0.3,20,20,27,0.701
0.3,20,30,0,0.868
0.3,20,30,3,0.851
0.3,20,30,4,0.903
0.3,20,30,1,1.608
0.3,20,30,2,1.515
0.3,20,30,6,0.932
0.3,20,30,5,1.797
0.3,20,30,8,1.028
0.3,20,30,7,1.393
0.3,20,30,10,0.946
0.3,100,30,12,39.542
0.3,20,30,11,1.072
0.3,20,30,13,0.806
0.3,20,30,14,0.86
0.3,20,30,9,1.584
0.3,100,30,15,38.254
0.3,20,30,15,0.857
0.3,100,30,13,40.055
0.3,20,30,17,0.858
0.3,20,30,12,1.569
0.3,100,30,14,39.63
0.3,20,30,18,0.876
0.3,20,30,19,0.874
0.3,100,30,0,66.989
0.3,20,30,16,1.558
0.3,20,30,22,0.897
0.3,30,5,0,0.104
0.3,30,5,1,0.07
0.3,30,5,3,0.072
0.3,30,5,2,0.11
0.3,30,5,4,0.076
0.3,30,5,5,0.097
0.3,30,5,6,0.07
0.3,30,5,8,0.067
0.3,30,5,7,0.11
0.3,30,5,9,0.07
0.3,30,5,10,0.1
0.3,30,5,11,0.082
0.3,20,30,27,0.906
0.3,20,30,20,1.597
0.3,20,30,28,0.861
0.3,30,5,13,0.068
0.3,30,5,12,0.105
0.3,30,5,14,0.103
0.3,20,30,21,1.569
0.3,30,5,15,0.108
0.3,30,5,16,0.066
0.3,30,5,17,0.07
0.3,30,5,18,0.104
0.3,30,5,22,0.066
0.3,30,5,19,0.095
0.3,30,5,23,0.077
0.3,30,5,20,0.108
0.3,30,5,21,0.106
0.3,20,30,23,1.526
0.3,20,30,24,1.351
0.3,30,5,26,0.065
0.3,30,5,27,0.067
0.3,30,5,24,0.107
0.3,30,5,25,0.094
0.3,30,5,29,0.1
0.3,30,5,28,0.108
0.3,20,30,25,1.518
0.3,30,10,1,0.229
0.3,30,10,2,0.225
0.3,30,10,5,0.22
0.3,20,30,26,1.532
0.3,30,10,0,0.391
0.3,30,10,4,0.366
0.3,30,10,3,0.387
0.3,30,10,6,0.387
0.3,30,10,7,0.389
0.3,30,10,9,0.226
0.3,30,10,11,0.233
0.3,30,10,8,0.363
0.3,30,10,10,0.292
0.3,20,30,29,1.539
0.3,30,10,14,0.215
0.3,30,10,18,0.235
0.3,30,10,12,0.379
0.3,30,10,19,0.227
0.3,30,10,13,0.38
0.3,30,10,15,0.378
0.3,100,30,25,18.836
0.3,30,10,21,0.233
0.3,30,10,17,0.375
0.3,30,10,16,0.387
0.3,30,10,23,0.225
0.3,30,10,20,0.395
0.3,30,10,26,0.216
0.3,30,10,24,0.239
0.3,30,10,22,0.386
0.3,30,10,29,0.235
0.3,30,10,25,0.372
0.3,30,10,27,0.383
0.3,30,10,28,0.38
0.3,30,20,0,0.868
0.3,30,20,5,0.851
0.3,30,20,3,0.879
0.3,30,20,8,0.893
0.3,30,20,6,1.134
0.3,30,20,2,1.506
0.3,30,20,1,1.539
0.3,30,20,4,1.502
0.3,30,20,12,0.812
0.3,30,20,7,1.506
0.3,30,20,13,0.794
0.3,30,20,9,1.483
0.3,30,20,10,1.477
0.3,30,20,14,0.825
0.3,30,20,11,1.501
0.3,30,20,15,0.919
0.3,30,20,16,0.778
0.3,30,20,20,0.842
0.3,30,20,25,0.856
0.3,30,20,22,0.822
0.3,100,30,26,19.515
0.3,100,30,27,19.661
0.3,30,20,18,1.474
0.3,30,20,17,1.496
0.3,30,20,28,0.83
0.3,30,20,19,1.511
0.3,30,20,27,0.861
0.3,30,20,23,1.426
0.3,30,20,21,1.529
0.3,30,20,24,1.472
0.3,30,20,26,1.547
0.3,30,20,29,1.643
0.3,30,30,0,2.106
0.3,100,30,28,19.403
0.3,30,30,1,2.072
0.3,30,30,2,1.97
0.3,30,30,6,1.962
0.3,30,30,8,1.755
0.3,30,30,3,2.078
0.3,30,30,13,1.818
0.3,30,30,5,3.366
0.3,30,30,4,3.363
0.3,30,30,7,3.361
0.3,30,30,14,1.826
0.3,30,30,9,3.306
0.3,30,30,16,1.879
0.3,30,30,17,1.802
0.3,30,30,10,3.333
0.3,30,30,15,1.833
0.3,30,30,12,3.319
0.3,30,30,11,3.528
0.3,50,5,0,0.166
0.3,30,30,18,1.847
0.3,30,30,20,1.821
0.3,50,5,1,0.272
0.3,50,5,3,0.163
0.3,50,5,4,0.169
0.3,50,5,2,0.26
0.3,50,5,5,0.172
0.3,50,5,7,0.177
0.3,50,5,8,0.163
0.3,50,5,6,0.249
0.3,50,5,10,0.151
0.3,50,5,9,0.268
0.3,50,5,11,0.153
0.3,50,5,12,0.161
0.3,50,5,14,0.154
0.3,50,5,13,0.269
0.3,50,5,16,0.167
0.3,50,5,17,0.158
0.3,50,5,15,0.271
0.3,50,5,18,0.159
0.3,30,30,19,1.973
0.3,50,5,20,0.162
0.3,50,5,21,0.19
0.3,50,5,19,0.26
0.3,50,5,23,0.165
0.3,100,30,29,21.222
0.3,50,5,25,0.169
0.3,50,5,22,0.271
0.3,50,5,26,0.167
0.3,50,5,24,0.27
0.3,50,5,28,0.172
0.3,50,5,29,0.164
0.3,50,5,27,0.274
0.3,30,30,21,1.935
0.3,30,30,25,1.814
0.3,50,10,0,0.552
0.3,50,10,2,0.561
0.3,50,10,4,0.551
0.3,30,30,28,1.828
0.3,50,10,5,0.607
0.3,50,10,7,0.561
0.3,50,10,3,0.663
0.3,50,10,1,0.988
0.3,50,10,8,0.611
0.3,30,30,27,1.881
0.3,50,10,9,0.593
0.3,50,10,12,0.623
0.3,50,10,11,0.639
0.3,50,10,6,1.157
0.3,50,10,10,0.771
0.3,50,10,13,0.822
0.3,50,10,15,0.679
0.3,50,10,14,0.737
0.3,50,10,18,0.656
0.3,50,10,17,0.7
0.3,50,10,19,0.694
0.3,50,10,21,0.635
0.3,50,10,23,0.579
0.3,50,10,16,1.013
0.3,50,10,24,0.58
0.3,30,30,22,3.56
0.3,30,30,24,3.592
0.3,30,30,23,3.591
0.3,50,10,20,0.684
0.3,50,10,26,0.61
0.3,50,10,25,0.706
0.3,30,30,29,3.478
0.3,30,30,26,3.643
0.3,50,10,27,0.529
0.3,50,10,22,1.034
0.3,50,10,28,0.542
0.3,50,10,29,0.558
0.3,50,20,0,2.055
0.3,50,20,1,2.058
0.3,50,20,9,2.061
0.3,50,20,7,2.118
0.3,50,20,8,2.175
0.3,50,20,12,2.083
0.3,50,20,14,2.349
0.3,50,20,15,2.178
0.3,50,20,2,3.854
0.3,50,20,4,3.968
0.3,50,20,3,4.101
0.3,50,20,6,4.046
0.3,50,20,5,4.08
0.3,50,20,10,3.971
0.3,50,20,16,2.416
0.3,50,20,11,4.062
0.3,50,20,20,2.014
0.3,50,20,13,4.079
0.3,50,20,17,2.287
0.3,50,20,19,2.211
0.3,50,20,18,2.38
0.3,50,20,21,2.078
0.3,50,20,22,2.179
0.3,50,20,23,2.203
0.3,50,20,26,2.128
0.3,50,20,24,4.102
0.3,50,20,25,4.172
0.3,50,20,28,4.19
0.3,50,20,27,4.197
0.3,50,20,29,4.179
0.3,50,30,4,5.046
0.3,50,30,0,5.3
0.3,50,30,5,4.998
0.3,50,30,2,5.087
0.3,50,30,6,5.214
0.3,50,30,7,5.081
0.3,50,30,9,7.276
0.3,50,30,10,4.747
0.3,50,30,8,5.734
0.3,50,30,11,5.181
0.3,50,30,3,9.231
0.3,50,30,17,4.785
0.3,50,30,16,4.822
0.3,50,30,1,10.002
0.3,50,30,18,4.98
0.4,5,5,0,0.004
0.4,5,5,1,0.004
0.4,5,5,2,0.007
0.4,5,5,3,0.007
0.4,5,5,4,0.007
0.4,5,5,5,0.007
0.4,5,5,6,0.007
0.4,5,5,7,0.007
0.4,5,5,8,0.007
0.4,5,5,9,0.007
0.4,5,5,10,0.007
0.4,5,5,11,0.007
0.4,5,5,12,0.007
0.4,5,5,13,0.007
0.4,5,5,14,0.007
0.4,5,5,15,0.007
0.4,5,5,16,0.006
0.4,5,5,17,0.007
0.4,5,5,18,0.007
0.3,50,30,19,4.955
0.4,5,5,20,0.004
0.4,5,5,19,0.007
0.4,5,5,21,0.004
0.4,5,5,22,0.007
0.4,5,5,23,0.005
0.4,5,5,25,0.004
0.4,5,5,24,0.007
0.4,5,5,26,0.004
0.4,5,5,27,0.007
0.4,5,5,28,0.004
0.4,5,5,29,0.006
0.4,5,10,1,0.012
0.4,5,10,0,0.019
0.4,5,10,2,0.013
0.4,5,10,3,0.02
0.4,5,10,4,0.013
0.4,5,10,5,0.017
0.4,5,10,6,0.02
0.4,5,10,7,0.014
0.3,50,30,20,5.06
0.4,5,10,9,0.012
0.4,5,10,8,0.02
0.4,5,10,10,0.012
0.4,5,10,11,0.012
0.4,5,10,13,0.013
0.4,5,10,12,0.02
0.4,5,10,14,0.012
0.4,5,10,15,0.013
0.4,5,10,17,0.012
0.4,5,10,16,0.019
0.4,5,10,18,0.012
0.4,5,10,19,0.014
0.4,5,10,20,0.019
0.4,5,10,21,0.019
0.4,5,10,22,0.014
0.4,5,10,23,0.012
0.4,5,10,24,0.02
0.4,5,10,25,0.019
0.4,5,10,26,0.014
0.4,5,10,29,0.012
0.4,5,10,27,0.02
0.4,5,10,28,0.02
0.4,5,20,0,0.038
0.4,5,20,2,0.05
0.4,5,20,1,0.061
0.4,5,20,4,0.037
0.4,5,20,3,0.061
0.4,5,20,5,0.061
0.4,5,20,6,0.038
0.4,5,20,7,0.061
0.4,5,20,9,0.039
0.4,5,20,8,0.06
0.4,5,20,11,0.039
0.4,5,20,10,0.062
0.4,5,20,12,0.062
0.4,5,20,13,0.038
0.4,5,20,14,0.061
0.4,5,20,16,0.04
0.4,5,20,15,0.059
0.4,5,20,18,0.038
0.4,5,20,17,0.061
0.4,5,20,19,0.063
0.4,5,20,20,0.045
0.4,5,20,21,0.059
0.4,5,20,22,0.037
0.4,5,20,23,0.06
0.4,5,20,24,0.039
0.4,5,20,25,0.062
0.4,5,20,27,0.039
0.4,5,20,26,0.062
0.4,5,20,29,0.037
0.4,5,20,28,0.059
0.4,5,30,1,0.117
0.4,5,30,0,0.126
0.4,5,30,2,0.123
0.4,5,30,3,0.129
0.4,5,30,4,0.126
0.4,5,30,5,0.123
0.4,5,30,6,0.136
0.4,5,30,7,0.123
0.4,5,30,8,0.124
0.3,50,30,21,4.899
0.4,5,30,9,0.129
0.4,5,30,12,0.073
0.4,5,30,10,0.124
0.4,5,30,11,0.105
0.4,5,30,13,0.076
0.4,5,30,14,0.074
0.4,5,30,17,0.081
0.4,5,30,15,0.125
0.4,5,30,16,0.123
0.4,5,30,18,0.075
0.4,5,30,19,0.075
0.4,5,30,22,0.076
0.4,5,30,20,0.124
0.4,5,30,23,0.075
0.4,5,30,21,0.124
0.4,5,30,24,0.073
0.4,5,30,26,0.079
0.3,50,30,12,7.008
0.4,5,30,25,0.124
0.4,5,30,28,0.074
0.4,5,30,27,0.124
0.4,5,30,29,0.073
0.3,50,30,23,4.918
0.4,100,5,2,0.593
0.4,100,5,3,0.564
0.4,100,5,0,0.682
0.4,100,5,5,0.571
0.4,100,5,4,0.784
0.4,100,5,1,1.105
0.4,100,5,8,0.55
0.4,100,5,7,0.559
0.4,100,5,9,0.582
0.4,100,5,6,1.019
0.4,100,5,10,0.761
0.3,50,30,15,9.457
0.4,100,5,13,0.581
0.4,100,5,12,0.596
0.3,50,30,13,9.601
0.3,50,30,24,4.686
0.4,100,5,14,0.515
0.4,100,5,11,0.978
0.4,100,5,15,0.555
0.4,100,5,16,0.572
0.4,100,5,18,0.566
0.4,100,5,19,0.548
0.4,100,5,21,0.552
0.4,100,5,17,0.993
0.4,100,5,24,0.55
0.3,50,30,25,6.009
0.4,100,5,20,1.076
0.4,100,5,25,0.553
0.4,100,5,26,0.545
0.4,100,5,27,0.569
0.4,100,5,22,0.942
0.3,50,30,27,4.763
0.4,100,5,28,0.612
0.4,100,5,23,1.015
0.3,50,30,29,5.092
0.4,100,5,29,1.002
0.3,50,30,22,9.345
0.4,100,10,0,2.322
0.4,100,10,1,2.35
0.4,100,10,7,2.284
0.4,100,10,8,2.311
0.4,100,10,5,2.224
0.4,100,10,3,2.426
0.4,100,10,4,2.415
0.4,100,10,6,2.544
0.4,100,10,9,2.308
0.4,100,10,10,2.312
0.3,50,30,14,16.927
0.4,100,10,2,4.208
0.4,100,10,13,2.114
0.4,100,10,17,2.01
0.4,100,10,15,2.106
0.4,100,10,19,2.052
0.4,100,10,16,2.136
0.4,100,10,18,2.153
0.3,50,30,26,9.349
0.4,100,10,11,4.077
0.3,50,30,28,9.621
0.4,100,10,14,2.728
0.4,100,10,21,2.075
0.4,100,10,22,2.011
0.4,100,10,12,3.947
0.4,100,10,25,1.991
0.4,100,10,26,1.957
0.4,100,10,20,3.925
0.4,100,10,29,2.057
0.4,100,10,27,2.201
0.4,100,10,28,2.202
0.4,100,10,23,4.292
0.4,100,10,24,4.269
0.4,100,20,6,7.998
0.4,100,20,4,8.197
0.4,100,20,5,8.081
0.4,100,20,0,8.269
0.4,100,20,11,7.483
0.4,100,20,8,8.129
0.4,100,20,12,7.865
0.4,100,20,13,8.596
0.4,100,20,9,13.508
0.4,100,20,1,17.206
0.4,100,20,17,8.342
0.4,100,20,3,17.16
0.4,100,20,18,8.901
0.4,100,20,2,17.67
0.4,100,20,19,9.241
0.4,100,20,21,8.68
0.4,100,20,22,8.359
0.4,100,20,16,10.655
0.4,100,20,20,8.991
0.4,100,20,23,8.319
0.4,100,20,7,17.907
0.4,100,20,10,16.868
0.4,100,20,14,17.285
0.4,100,20,15,17.137
0.4,100,20,24,8.253
0.4,100,20,26,8.345
0.4,100,20,28,8.681
0.4,100,20,25,17.333
0.4,100,20,29,17.428
0.4,100,20,27,17.837
0.4,100,30,0,18.476
0.4,100,30,2,18.921
0.4,100,30,3,18.986
0.4,100,30,5,20.083
0.4,100,30,1,25.565
0.4,100,30,4,20.051
0.4,100,30,11,20.122
0.4,100,30,12,18.961
0.4,100,30,10,25.203
0.4,100,30,18,18.084
0.4,100,30,17,20.034
0.4,100,30,19,18.865
0.4,100,30,7,40.871
0.4,100,30,6,40.353
0.4,100,30,16,19.272
0.4,10,5,0,0.011
0.4,10,5,1,0.011
0.4,10,5,2,0.019
0.4,10,5,3,0.019
0.4,10,5,4,0.019
0.4,10,5,5,0.019
0.4,10,5,6,0.019
0.4,10,5,7,0.019
0.4,10,5,8,0.019
0.4,10,5,9,0.018
0.4,10,5,10,0.019
0.4,10,5,11,0.019
0.4,10,5,12,0.019
0.4,10,5,13,0.018
0.4,10,5,14,0.019
0.4,10,5,15,0.019
0.4,10,5,16,0.019
0.4,10,5,17,0.018
0.4,10,5,18,0.019
0.4,10,5,19,0.019
0.4,10,5,20,0.02
0.4,10,5,21,0.019
0.4,10,5,22,0.019
0.4,10,5,23,0.019
0.4,10,5,24,0.019
0.4,10,5,25,0.019
0.4,10,5,26,0.019
0.4,10,5,27,0.019
0.4,10,5,28,0.019
0.4,10,5,29,0.019
0.4,10,10,0,0.059
0.4,10,10,1,0.057
0.4,10,10,2,0.059
0.4,10,10,3,0.059
0.4,10,10,4,0.057
0.4,10,10,5,0.058
0.4,10,10,6,0.059
0.4,10,10,7,0.058
0.4,10,10,8,0.059
0.4,10,10,9,0.059
0.4,10,10,10,0.069
0.4,10,10,11,0.058
0.4,100,30,21,18.173
0.4,10,10,12,0.049
0.4,100,30,8,39.829
0.4,10,10,14,0.036
0.4,10,10,13,0.059
0.4,10,10,15,0.047
0.4,10,10,16,0.059
0.4,10,10,17,0.038
0.4,10,10,20,0.033
0.4,10,10,18,0.063
0.4,10,10,19,0.058
0.4,10,10,21,0.035
0.4,10,10,22,0.061
0.4,10,10,24,0.034
0.4,10,10,23,0.059
0.4,100,30,20,19.206
0.4,10,10,26,0.044
0.4,10,10,25,0.048
0.4,10,10,27,0.059
0.4,10,10,29,0.034
0.4,100,30,9,41.131
0.4,10,10,28,0.058
0.4,10,20,0,0.112
0.4,10,20,2,0.121
0.4,10,20,1,0.21
0.4,10,20,5,0.134
0.4,10,20,3,0.222
0.4,10,20,4,0.231
0.4,10,20,6,0.137
0.4,10,20,8,0.111
0.4,10,20,11,0.107
0.4,10,20,7,0.195
0.4,10,20,10,0.139
0.4,10,20,9,0.19
0.4,10,20,12,0.117
0.4,10,20,15,0.11
0.4,10,20,17,0.11
0.4,10,20,13,0.2
0.4,10,20,14,0.188
0.4,10,20,16,0.196
0.4,10,20,18,0.129
0.4,10,20,19,0.118
0.4,10,20,20,0.201
0.4,10,20,23,0.109
0.4,10,20,24,0.108
0.4,10,20,21,0.202
0.4,10,20,22,0.198
0.4,10,20,26,0.109
0.4,10,20,27,0.117
0.4,10,20,25,0.155
0.4,10,20,28,0.204
0.4,10,20,29,0.196
0.4,10,30,0,0.233
0.4,10,30,1,0.241
0.4,10,30,2,0.274
0.4,10,30,5,0.232
0.4,10,30,3,0.43
0.4,10,30,4,0.426
0.4,10,30,6,0.242
0.4,10,30,8,0.232
0.4,10,30,11,0.237
0.4,10,30,7,0.414
0.4,10,30,12,0.238
0.4,10,30,9,0.437
0.4,10,30,10,0.433
0.4,10,30,13,0.244
0.4,10,30,15,0.237
0.4,10,30,14,0.445
0.4,10,30,18,0.245
0.4,10,30,16,0.437
0.4,10,30,17,0.426
0.4,10,30,19,0.239
0.4,10,30,20,0.242
0.4,10,30,21,0.257
0.4,10,30,24,0.241
0.4,10,30,25,0.237
0.4,10,30,22,0.431
0.4,10,30,23,0.453
0.4,20,5,0,0.064
0.4,20,5,1,0.061
0.4,10,30,27,0.313
0.4,20,5,2,0.046
0.4,20,5,3,0.065
0.4,20,5,4,0.064
0.4,10,30,26,0.439
0.4,20,5,5,0.062
0.4,20,5,7,0.046
0.4,20,5,6,0.065
0.4,10,30,28,0.35
0.4,20,5,8,0.062
0.4,20,5,9,0.045
0.4,20,5,10,0.046
0.4,20,5,11,0.048
0.4,100,30,22,19.492
0.4,20,5,12,0.061
0.4,20,5,14,0.047
0.4,20,5,15,0.047
0.4,20,5,13,0.064
0.4,20,5,16,0.046
0.4,20,5,17,0.062
0.4,20,5,18,0.049
0.4,20,5,19,0.048
0.4,10,30,29,0.481
0.4,20,5,21,0.061
0.4,20,5,20,0.064
0.4,20,5,22,0.045
0.4,20,5,24,0.05
0.4,20,5,23,0.061
0.4,20,5,27,0.05
0.4,20,5,26,0.061
0.4,20,5,25,0.06
0.4,20,5,29,0.046
0.4,20,5,28,0.059
0.4,20,10,1,0.104
0.4,20,10,5,0.105
0.4,20,10,0,0.181
0.4,20,10,2,0.18
0.4,20,10,3,0.182
0.4,20,10,4,0.19
0.4,20,10,6,0.109
0.4,20,10,7,0.12
0.4,20,10,9,0.106
0.4,20,10,13,0.106
0.4,20,10,8,0.19
0.4,20,10,10,0.18
0.4,20,10,12,0.127
0.4,20,10,11,0.19
0.4,20,10,14,0.107
0.4,20,10,18,0.105
0.4,20,10,15,0.185
0.4,20,10,16,0.186
0.4,20,10,20,0.107
0.4,20,10,17,0.193
0.4,20,10,19,0.181
0.4,20,10,21,0.109
0.4,20,10,24,0.106
0.4,100,30,23,19.356
0.4,20,10,27,0.108
0.4,20,10,23,0.179
0.4,20,10,22,0.182
0.4,20,10,25,0.183
0.4,20,10,26,0.184
0.4,20,10,28,0.104
0.4,20,10,29,0.107
0.4,20,20,0,0.395
0.4,20,20,6,0.393
0.4,20,20,5,0.399
0.4,20,20,2,0.498
0.4,20,20,1,0.704
0.4,20,20,3,0.696
0.4,20,20,4,0.723
0.4,20,20,7,0.399
0.4,20,20,9,0.396
0.4,20,20,10,0.401
0.4,20,20,8,0.704
0.4,20,20,14,0.396
0.4,20,20,15,0.383
0.4,20,20,16,0.407
0.4,20,20,11,0.688
0.4,20,20,12,0.697
0.4,20,20,13,0.696
0.4,20,20,18,0.399
0.4,20,20,19,0.4
0.4,20,20,20,0.388
0.4,20,20,17,0.719
0.4,20,20,24,0.449
0.4,20,20,25,0.411
0.4,20,20,21,0.718
0.4,20,20,22,0.706
0.4,20,20,23,0.704
0.4,20,20,26,0.384
0.4,20,20,28,0.396
0.4,20,20,29,0.395
0.4,20,20,27,0.553
0.4,20,30,3,0.872
0.4,20,30,5,0.885
0.4,20,30,6,0.871
0.4,20,30,4,1.127
0.4,20,30,0,1.645
0.4,20,30,1,1.624
0.4,20,30,2,1.693
0.4,20,30,7,0.871
0.4,20,30,9,0.96
0.4,20,30,8,0.992
0.4,20,30,10,1.015
0.4,20,30,14,0.98
0.4,20,30,15,0.966
0.4,20,30,16,0.878
0.4,20,30,12,1.744
0.4,20,30,11,1.74
0.4,20,30,13,1.728
0.4,20,30,17,0.888
0.4,20,30,18,0.876
0.4,20,30,19,0.877
0.4,20,30,20,0.87
0.4,20,30,24,0.89
0.4,20,30,25,0.896
0.4,20,30,26,0.894
0.4,30,5,0,0.11
0.4,20,30,27,0.915
0.4,20,30,21,1.642
0.4,20,30,22,1.657
0.4,30,5,1,0.067
0.4,30,5,2,0.108
0.4,30,5,3,0.11
0.4,30,5,5,0.069
0.4,30,5,4,0.109
0.4,20,30,23,1.727
0.4,30,5,8,0.067
0.4,30,5,6,0.102
0.4,30,5,7,0.115
0.4,30,5,9,0.11
0.4,30,5,11,0.074
0.4,30,5,10,0.113
0.4,30,5,12,0.118
0.4,30,5,15,0.091
0.4,30,5,13,0.125
0.4,30,5,14,0.125
0.4,20,30,29,0.926
0.4,30,5,16,0.126
0.4,20,30,28,1.077
0.4,30,5,17,0.091
0.4,30,5,18,0.095
0.4,30,5,19,0.12
0.4,30,5,20,0.126
0.4,30,5,21,0.094
0.4,30,5,24,0.097
0.4,30,5,22,0.125
0.4,30,5,25,0.102
0.4,30,5,23,0.126
0.4,30,5,28,0.09
0.4,30,5,26,0.129
0.4,30,5,27,0.126
0.4,30,5,29,0.099
0.4,30,10,1,0.322
0.4,30,10,2,0.33
0.4,30,10,6,0.365
0.4,30,10,3,0.32
0.4,30,10,0,0.421
0.4,100,30,24,21.711
0.4,30,10,4,0.408
0.4,30,10,5,0.435
0.4,30,10,8,0.216
0.4,30,10,9,0.227
0.4,30,10,10,0.212
0.4,30,10,12,0.213
0.4,30,10,7,0.398
0.4,30,10,15,0.208
0.4,30,10,11,0.392
0.4,30,10,16,0.218
0.4,30,10,17,0.232
0.4,30,10,13,0.409
0.4,30,10,14,0.387
0.4,30,10,18,0.218
0.4,30,10,20,0.22
0.4,30,10,19,0.226
0.4,30,10,23,0.226
0.4,30,10,26,0.221
0.4,30,10,21,0.396
0.4,30,10,28,0.234
0.4,30,10,22,0.388
0.4,30,10,24,0.402
0.4,30,10,25,0.387
0.4,30,10,27,0.23
0.4,30,10,29,0.229
0.4,100,30,14,38.556
0.4,100,30,13,41.626
0.4,30,20,2,0.822
0.4,30,20,0,0.992
0.4,30,20,3,0.83
0.4,30,20,7,0.835
0.4,30,20,6,0.944
0.4,100,30,15,40.078
0.4,100,30,25,17.594
0.4,30,20,1,1.607
0.4,30,20,4,1.524
0.4,30,20,5,1.57
0.4,30,20,12,0.822
0.4,30,20,11,0.856
0.4,30,20,13,0.843
0.4,100,30,26,19.098
0.4,30,20,8,1.504
0.4,30,20,10,1.503
0.4,30,20,14,0.863
0.4,30,20,9,1.418
0.4,30,20,16,0.822
0.4,30,20,21,0.822
0.4,30,20,20,0.909
0.4,100,30,27,19.471
0.4,30,20,22,1.064
0.4,30,20,15,1.449
0.4,30,20,25,0.835
0.4,30,20,26,0.845
0.4,30,20,18,1.47
0.4,30,20,27,0.817
0.4,30,20,17,1.564
0.4,30,20,19,1.515
0.4,30,20,23,1.503
0.4,30,20,29,0.81
0.4,30,20,28,0.842
0.4,30,20,24,1.574
0.4,30,30,0,2.03
0.4,30,30,1,2.008
0.4,30,30,2,1.956
0.4,30,30,7,2.039
0.4,30,30,5,2.051
0.4,30,30,4,2.089
0.4,30,30,12,1.996
0.4,30,30,11,1.836
0.4,30,30,3,3.393
0.4,30,30,6,3.481
0.4,30,30,16,1.854
0.4,30,30,10,3.413
0.4,30,30,14,1.926
0.4,30,30,9,3.53
0.4,30,30,8,3.631
0.4,30,30,17,1.872
0.4,30,30,13,3.293
0.4,30,30,19,1.815
0.4,30,30,18,2.07
0.4,50,5,1,0.148
0.4,50,5,0,0.264
0.4,50,5,2,0.166
0.4,30,30,20,1.807
0.4,50,5,3,0.171
0.4,50,5,5,0.234
0.4,50,5,6,0.232
0.4,50,5,4,0.321
0.4,50,5,7,0.202
0.4,100,30,28,20.91
0.4,50,5,8,0.224
0.4,50,5,9,0.22
0.4,30,30,15,3.374
0.4,50,5,11,0.229
